0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Ti:738.0,Nb:423.2,Au:242.9,Ni:203.9,S :162.7,In:162.4,,,,,,,,,,,,,,,
Nb:404.7,Zr:219.3,Ti:201.9,Ni:171.5,Ti:153.1,,,,,,,,,,,,,,,,
Nb:397.1,S :277.0,W_:192.3,Ni:191.6,In:160.5,,,,,,,,,,,,,,,,
Ti:5482.7,S :523.1,Zr:493.7,Nb:395.0,W_:388.4,Sb:266.5,Si:257.8,Si:254.3,In:237.3,Pd:234.9,Zr:205.5,Ni:172.2,Ge:169.7,Fe:157.0,Mo:151.2,,,,,,
V_:919.0,Nb:389.3,Ag:164.8,Pd:162.5,Ag:162.4,S :156.9,,,,,,,,,,,,,,,
V_:1701.1,Nb:387.0,Ta:271.6,I_:197.8,Pt:186.5,In:163.2,,,,,,,,,,,,,,,
Ti:736.3,Ca:403.7,Nb:384.8,Zr:375.6,Pd:290.4,S :274.6,W_:259.8,Ni:246.5,S :245.9,Mo:213.6,,,,,,,,,,,
Nb:378.4,Pd:369.3,Ni:289.3,Sn:265.9,Mo:239.2,Sb:222.1,Si:161.1,W_:159.3,Fe:157.4,Bi:151.9,,,,,,,,,,,
V_:724.7,Nb:377.5,Zr:297.9,Pd:186.6,,,,,,,,,,,,,,,,,
Ge:2228.9,Sb:545.9,Zn:472.2,Nb:376.5,Mo:241.6,Ni:236.9,Pb:173.6,,,,,,,,,,,,,,
Ti:860.7,Zr:459.8,Nb:375.9,W_:333.0,I_:313.9,In:283.8,Sb:222.2,C_:216.5,Pt:164.9,,,,,,,,,,,,
Nb:375.2,Ni:304.6,K :199.7,Ta:173.4,,,,,,,,,,,,,,,,,
Ti:1380.3,Nb:371.7,Ni:196.0,,,,,,,,,,,,,,,,,,
Nb:367.2,Bi:332.2,Ta:274.5,Ta:270.8,W_:227.0,Si:220.4,Ni:188.0,Sn:187.0,K :179.7,In:179.3,C_:179.3,W_:170.4,Pd:160.0,,,,,,,,
Nb:361.0,,,,,,,,,,,,,,,,,,,,
Ta:997.7,Nb:360.6,Ni:276.4,W_:166.9,Zr:164.4,S :150.7,,,,,,,,,,,,,,,
Ti:3320.6,W_:945.2,Ta:439.1,Nb:358.6,Ni:292.1,,,,,,,,,,,,,,,,
Ta:368.5,Nb:357.4,Ni:301.6,Ti:191.1,W_:162.1,I_:155.9,Pd:150.6,,,,,,,,,,,,,,
Nb:356.6,Pd:302.3,Fe:201.2,Ni:181.6,S :155.7,,,,,,,,,,,,,,,,
Nb:350.6,Ti:229.3,Pd:194.9,Ti:188.5,Ni:163.5,,,,,,,,,,,,,,,,
Ti:1045.5,Ca:422.4,Nb:345.6,Ni:208.4,,,,,,,,,,,,,,,,,
Cd:8882.9,Ti:1110.1,Bi:561.4,Nb:342.0,Zr:281.2,Si:234.6,Ni:233.6,Sb:170.2,,,,,,,,,,,,,
Nb:340.2,Ta:309.7,In:226.8,Fe:218.4,Pt:174.2,Sn:153.6,,,,,,,,,,,,,,,
Nb:333.7,Ti:296.1,V_:214.2,Ca:185.4,S :151.6,,,,,,,,,,,,,,,,
Nb:332.0,Ti:268.4,,,,,,,,,,,,,,,,,,,
Zr:421.1,Nb:328.9,Sb:281.7,V_:234.9,Ni:187.4,P :171.6,Zn:167.7,,,,,,,,,,,,,,
V_:358.4,Nb:318.1,W_:224.3,Pt:157.9,,,,,,,,,,,,,,,,,
Sb:2192.2,Zr:1017.5,Nb:315.7,I_:253.4,,,,,,,,,,,,,,,,,
V_:971.7,Fe:441.6,Nb:295.8,Ni:263.4,Sn:170.0,,,,,,,,,,,,,,,,
Ca:7580.1,Ti:1911.2,Nb:295.4,,,,,,,,,,,,,,,,,,
Ti:494.5,Pt:352.2,Nb:294.5,Fe:245.1,Sn:241.3,Pd:197.8,S :197.0,Ta:186.4,In:165.0,,,,,,,,,,,,
Bi:979.2,Al:733.3,Nb:294.4,Ge:277.6,Zr:223.4,Cu:192.6,Au:168.8,Sb:167.1,Fe:161.2,Pb:155.3,,,,,,,,,,,
Nb:292.7,W_:195.3,W_:170.5,,,,,,,,,,,,,,,,,,
Ca:3807.1,Mo:1122.8,Nb:290.0,Pb:216.3,,,,,,,,,,,,,,,,,
Zr:289.5,Nb:288.1,Sb:172.4,,,,,,,,,,,,,,,,,,
Nb:281.0,,,,,,,,,,,,,,,,,,,,
C_:286.9,Nb:280.9,Ti:275.3,Sb:222.1,K :161.0,W_:159.3,Fe:157.4,,,,,,,,,,,,,,
Ti:2235.8,Zr:280.8,Nb:266.4,,,,,,,,,,,,,,,,,,
Ti:4453.7,Ca:3873.4,Ta:349.0,Sn:319.4,I_:291.4,Nb:264.0,Zr:180.8,Fe:154.1,Sb:150.1,,,,,,,,,,,,
Ti:334.9,Ta:287.8,Nb:260.3,,,,,,,,,,,,,,,,,,
Ge:1110.9,Ti:312.0,Ta:286.9,Nb:259.1,P :228.2,Fe:209.5,Sb:183.9,Sb:180.9,Si:154.8,,,,,,,,,,,,
Ti:2845.6,Fe:531.7,Nb:257.8,Pd:212.3,In:212.3,I_:195.1,Zr:191.3,Mo:178.8,Ni:175.2,Si:162.8,,,,,,,,,,,
Zr:946.4,Ca:415.7,Ca:393.0,Nb:256.7,,,,,,,,,,,,,,,,,
Nb:253.9,Ti:186.2,,,,,,,,,,,,,,,,,,,
Fe:1407.4,Fe:967.6,Nb:252.5,Ta:224.4,Ti:193.9,I_:167.6,Pt:163.0,Sn:160.8,In:154.0,,,,,,,,,,,,
Ti:531.3,Nb:252.2,,,,,,,,,,,,,,,,,,,
V_:400.4,Nb:251.7,Ti:238.3,W_:153.6,,,,,,,,,,,,,,,,,
Nb:250.2,Ta:160.8,,,,,,,,,,,,,,,,,,,
Ca:6217.3,Nb:248.9,,,,,,,,,,,,,,,,,,,
Ta:460.3,Nb:244.8,,,,,,,,,,,,,,,,,,,
Mo:5601.2,Ti:832.1,In:637.7,W_:632.9,S :608.7,Sn:608.1,Pt:558.8,I_:507.0,Sn:467.5,Sb:465.1,In:452.8,Fe:440.7,Si:379.9,K :358.7,Nb:244.8,Zn:202.2,P :180.6,Ni:153.7,,,
Ca:249.8,Nb:238.7,Ni:156.1,,,,,,,,,,,,,,,,,,
Nb:234.8,W_:191.6,S :164.2,,,,,,,,,,,,,,,,,,
P :367.6,Nb:232.7,,,,,,,,,,,,,,,,,,,
Ti:843.0,K :296.9,Ta:287.1,W_:270.2,Nb:229.9,S :178.0,,,,,,,,,,,,,,,
Ta:461.4,S :248.8,Nb:227.5,Ni:174.9,Pd:166.8,Sb:160.3,I_:154.2,Si:153.7,,,,,,,,,,,,,
Ca:4236.6,V_:518.8,Nb:227.2,K :206.6,Fe:204.1,I_:200.9,Pt:181.1,Pb:165.2,W_:161.9,Sb:161.3,In:158.2,,,,,,,,,,
Nb:223.6,Ti:162.6,,,,,,,,,,,,,,,,,,,
I_:581.6,Nb:221.7,Ta:185.2,S :170.3,S :162.7,,,,,,,,,,,,,,,,
V_:217.0,Nb:212.3,S :161.4,Pd:157.0,,,,,,,,,,,,,,,,,
Nb:208.4,Sb:205.6,Ni:190.4,W_:186.5,Zr:183.5,,,,,,,,,,,,,,,,
Nb:199.5,,,,,,,,,,,,,,,,,,,,
Ca:2660.6,Ta:281.9,Nb:192.4,,,,,,,,,,,,,,,,,,
V_:203.0,Nb:192.0,Sb:175.2,K :171.2,,,,,,,,,,,,,,,,,
Si:3497.3,Zr:569.8,Nb:190.8,,,,,,,,,,,,,,,,,,
Ti:946.0,W_:333.0,Sb:235.9,Ca:218.4,C_:216.5,Ta:216.4,Nb:190.5,P :168.9,,,,,,,,,,,,,
Zr:602.6,Nb:189.6,,,,,,,,,,,,,,,,,,,
Nb:187.6,V_:169.3,Zn:166.5,Ti:159.9,,,,,,,,,,,,,,,,,
Ti:222.6,Nb:186.4,,,,,,,,,,,,,,,,,,,
I_:190.5,Ca:186.6,Nb:186.0,,,,,,,,,,,,,,,,,,
V_:703.0,Ti:312.4,Nb:185.8,K :158.9,,,,,,,,,,,,,,,,,
V_:483.4,W_:289.9,Pd:210.6,Sn:207.2,S :205.2,Nb:172.5,Pt:162.2,I_:152.2,,,,,,,,,,,,,
Ta:303.0,Ni:175.9,Nb:170.7,,,,,,,,,,,,,,,,,,
V_:564.2,Zr:201.3,Fe:186.2,W_:172.5,Nb:170.5,Ti:161.9,,,,,,,,,,,,,,,
Ni:189.2,Nb:169.3,Ti:167.4,,,,,,,,,,,,,,,,,,
Ti:557.8,V_:326.2,Nb:166.0,,,,,,,,,,,,,,,,,,
Ti:1119.4,W_:251.1,Nb:157.7,Pt:153.0,,,,,,,,,,,,,,,,,
Ti:720.0,Ca:197.2,Nb:157.4,I_:155.0,,,,,,,,,,,,,,,,,
Ti:276.5,Ti:265.7,Nb:157.4,,,,,,,,,,,,,,,,,,
V_:1075.8,Zr:354.9,Ti:274.3,Ni:200.3,K :196.2,Nb:156.9,,,,,,,,,,,,,,,
V_:483.4,I_:314.6,W_:238.0,S :215.8,Pt:183.0,Nb:153.5,,,,,,,,,,,,,,,
Nb:150.1,,,,,,,,,,,,,,,,,,,,
