0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
K_:2379.6,S :2227.9,P :1854.0,V_:564.2,C_:253.2,Pt:204.8,W_:204.4,,,,,,,,,,,,,,
Nb:3877.6,V_:554.6,K_:541.2,K_:466.9,Ni:428.1,S :384.7,Au:359.7,P :308.4,S :266.6,Ta:235.3,Ca:205.0,,,,,,,,,,
C_:2320.5,Nb:1309.4,V_:548.7,Pt:239.5,Mo:223.4,Cd:179.7,Zn:152.6,,,,,,,,,,,,,,
Zr:1286.7,W_:642.8,V_:546.6,Pt:433.5,C_:238.7,C_:158.9,,,,,,,,,,,,,,,
Ti:750.9,Ni:540.8,V_:537.2,S :177.0,,,,,,,,,,,,,,,,,
Nb:1097.0,Mo:1056.4,Pt:577.3,V_:521.8,Au:320.5,Ta:245.8,Zr:228.6,Cr:216.3,,,,,,,,,,,,,
Mo:1154.5,Ni:973.3,Pt:777.4,V_:520.8,Ti:504.5,Pb:473.9,,,,,,,,,,,,,,,
Nb:3075.9,Ni:1541.9,Ni:1447.6,Ta:1360.3,Fe:1283.3,V_:517.6,S :514.3,Ti:401.7,Cr:357.9,P :303.2,Pt:215.6,Pb:211.6,K_:188.5,Mo:156.6,,,,,,,
Nb:1514.2,W_:636.6,Cr:604.2,V_:513.3,S :372.4,Ti:347.7,Ni:291.5,K_:223.3,Fe:172.8,Zr:168.3,,,,,,,,,,,
Mo:5128.2,Pt:3989.0,Ta:1644.0,Cr:1033.2,Zr:840.9,Nb:808.6,W_:615.9,V_:507.0,Ti:217.3,Bi:185.5,S :183.0,,,,,,,,,,
Zr:3315.2,W_:2140.0,Mo:1992.3,Pt:1404.0,Nb:1041.1,V_:506.9,Cr:443.7,S :371.6,P :279.4,K_:275.9,Au:173.3,,,,,,,,,,
Zr:3376.9,Nb:3192.6,Ti:2430.3,Au:678.8,C_:606.3,V_:504.6,Cd:212.7,Pt:175.9,Pd:157.7,,,,,,,,,,,,
V_:502.9,C_:379.7,S :358.3,P :229.3,,,,,,,,,,,,,,,,,
Ta:961.9,W_:926.4,V_:500.5,Ti:292.4,K_:252.8,K_:246.3,,,,,,,,,,,,,,,
Fe:3564.7,Cr:2236.7,Mo:723.9,Co:611.9,S :600.7,W_:518.2,V_:497.1,Pt:398.5,Nb:395.0,K_:315.0,P :271.2,Zr:230.5,Ni:167.6,,,,,,,,
Ta:1106.6,V_:486.0,Pt:290.7,W_:216.8,Co:167.0,,,,,,,,,,,,,,,,
V_:482.9,Nb:307.7,Ti:161.5,,,,,,,,,,,,,,,,,,
Al:5073.9,Mo:1986.8,Cr:1636.6,Nb:1406.1,Pt:1153.0,C_:1148.8,Co:714.8,Ni:595.6,V_:481.2,Zr:357.3,Fe:261.2,S :230.4,Ag:178.3,Ta:158.3,,,,,,,
Mo:1438.4,Zr:1131.0,Pt:905.1,Cr:887.2,V_:476.3,W_:471.2,Nb:378.1,Ta:364.3,W_:311.6,S :235.9,,,,,,,,,,,
Mo:1141.8,W_:728.5,Nb:712.1,Pt:667.2,Zr:503.5,V_:464.5,C_:239.7,,,,,,,,,,,,,,
Nb:1247.3,Co:1221.0,Ni:973.3,W_:629.4,V_:456.5,Ta:347.3,Zr:178.9,,,,,,,,,,,,,,
Au:2490.7,Fe:1137.0,Nb:801.7,K_:771.7,W_:584.0,V_:454.4,C_:453.9,C_:439.8,Zr:360.0,Ta:302.4,,,,,,,,,,,
Nb:1283.3,W_:834.5,Co:670.8,V_:451.2,Pt:195.4,Ti:150.1,,,,,,,,,,,,,,,
Cu:1509.9,Zr:706.1,W_:501.4,V_:442.3,C_:345.5,Ta:209.7,S :170.1,,,,,,,,,,,,,,
