0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Al:5073.9,Mo:1986.8,Cr:1636.6,Nb:1406.1,Pt:1153.0,C_:1148.8,Co:714.8,Ni:595.6,V_:481.2,Zr:357.3,Fe:261.2,S :230.4,Ag:178.3,Ta:158.3,,,
Nb:1391.0,Ti:538.3,Ta:509.2,C_:344.7,S :267.9,W_:235.7,Zr:182.7,K_:161.4,,,,,,,,,
Nb:1390.8,Co:760.1,Zr:479.9,Fe:282.8,V_:279.6,Au:201.7,,,,,,,,,,,
V_:3347.6,Nb:1381.4,Ta:670.0,W_:651.6,Pt:421.2,S :288.6,Zr:287.1,P :173.5,,,,,,,,,
Nb:1372.1,Co:937.2,Mo:713.7,Pt:378.5,C_:174.0,P :156.8,,,,,,,,,,,
Ta:1734.4,Nb:1371.0,Fe:178.0,Pt:165.5,Co:152.4,,,,,,,,,,,,
K_:2742.9,Nb:1359.4,Ti:893.6,W_:701.9,Zr:546.9,Cr:193.8,,,,,,,,,,,
Mo:2039.4,Nb:1348.1,Pt:1191.3,Zr:1041.0,Co:801.5,Ni:602.6,V_:293.3,V_:291.2,W_:266.2,Pd:185.3,,,,,,,
Cr:2000.1,Nb:1345.7,V_:1273.5,Au:463.8,Ca:285.0,Co:273.5,S :204.9,Ta:199.8,,,,,,,,,
Mo:1493.6,Nb:1341.1,Pt:763.0,Ti:592.2,V_:235.4,Ta:233.8,S :206.0,Au:153.1,P :151.9,,,,,,,,
Cr:4179.3,Nb:1329.9,W_:1047.4,Ta:762.9,K_:569.6,P :371.7,Ti:236.3,,,,,,,,,,
Zr:2927.7,Mo:1363.0,Nb:1317.8,Pt:1065.7,W_:762.0,Ta:357.6,S :239.1,,,,,,,,,,
C_:2320.5,Nb:1309.4,V_:548.7,Pt:239.5,Mo:223.4,Cd:179.7,Zn:152.6,,,,,,,,,,
Nb:1283.3,W_:834.5,Co:670.8,V_:451.2,,,,,,,,,,,,,
Zr:2889.4,V_:2628.4,Ta:1653.9,Nb:1280.7,W_:731.0,S :275.8,Ti:188.5,C_:168.2,Cr:152.4,,,,,,,,
Mo:1525.4,Fe:1347.8,Ti:1345.8,Nb:1273.7,Pt:1068.0,Ta:562.3,Zr:420.2,W_:374.1,C_:331.0,,,,,,,,
Ta:1280.3,Nb:1257.9,C_:852.6,Ta:688.1,Zr:363.5,W_:194.6,,,,,,,,,,,
Ni:2000.1,Nb:1249.4,Fe:489.7,Ta:457.6,S :376.4,,,,,,,,,,,,
Nb:1247.3,Co:1221.0,Ni:973.3,W_:629.4,V_:456.5,Ta:347.3,Zr:178.9,,,,,,,,,,
Ta:1681.1,Nb:1238.4,Ti:744.4,C_:611.3,K_:498.8,S :369.7,P :355.0,W_:165.7,,,,,,,,,
Nb:1233.5,Mo:518.0,Pt:347.9,,,,,,,,,,,,,,
Nb:1224.0,Mo:396.3,Cr:345.7,W_:253.4,Pt:170.8,V_:165.5,Au:156.8,,,,,,,,,,
Ni:7899.9,Fe:2499.1,W_:2448.2,Nb:1216.1,Co:286.0,V_:240.6,Pb:232.5,Pb:228.9,K_:162.6,,,,,,,,
W_:6020.0,Nb:1215.9,C_:703.3,Ti:686.3,C_:465.2,Mo:369.0,Pt:291.9,Zr:222.1,Ta:168.0,,,,,,,,
Zr:3179.9,Mo:1302.9,Nb:1204.7,Pt:844.2,C_:224.2,Cr:196.7,,,,,,,,,,,
V_:2782.0,Nb:1188.9,Ti:602.8,S :403.8,K_:383.7,Ta:233.7,P :175.2,,,,,,,,,,
Ni:7018.0,Fe:4046.1,Nb:1184.9,W_:665.9,Ta:477.9,Ti:279.4,K_:201.8,Au:159.8,S :154.8,,,,,,,,
Nb:1159.7,Zr:1148.1,Co:1084.6,Mo:551.2,Pt:263.4,K_:161.3,,,,,,,,,,,
Cr:2371.3,Ti:1244.7,Nb:1155.4,Ta:271.9,Pt:256.6,K_:194.9,S :191.5,P :170.0,Zr:165.1,,,,,,,,
Nb:1133.9,C_:479.4,S :214.2,,,,,,,,,,,,,,
Co:3701.5,Nb:1121.9,C_:639.9,Ni:577.0,Mo:522.9,,,,,,,,,,,,
W_:3381.7,Nb:1114.5,Cr:862.3,Ta:852.2,Ta:772.4,Zr:423.1,Co:386.0,Fe:266.2,Au:220.0,K_:208.5,K_:203.3,Pt:191.3,,,,,
Nb:1113.6,Mo:669.5,S :639.4,Pt:578.5,C_:444.1,W_:254.4,Ta:228.3,,,,,,,,,,
V_:2228.3,Nb:1110.5,K_:397.6,S :389.0,Zr:372.4,S :360.3,K_:340.7,W_:319.4,Pt:219.1,Zr:196.1,Ti:177.2,,,,,,
Ta:2628.5,Zr:2606.7,Nb:1109.5,V_:210.2,Ti:167.3,,,,,,,,,,,,
Pd:2991.9,Nb:1097.0,V_:521.8,Fe:502.4,Au:353.4,Au:320.5,Ta:255.1,Cr:216.3,,,,,,,,,
Ti:1774.3,Ti:1430.3,Zr:1162.7,Nb:1096.7,W_:820.0,Pt:669.3,V_:627.1,Mo:558.5,S :397.1,,,,,,,,
Cr:1512.5,Nb:1096.4,W_:408.3,Ta:221.4,,,,,,,,,,,,,
Nb:1096.2,V_:985.8,Mo:797.3,Ti:539.4,W_:215.9,,,,,,,,,,,,
Nb:1093.0,Ni:542.8,Fe:493.5,Cr:457.3,W_:412.0,Ta:229.3,Pd:191.3,S :176.3,,,,,,,,,
W_:3497.4,Nb:1086.5,Ti:492.7,S :214.4,,,,,,,,,,,,,
Mo:2243.1,Pt:1572.0,Nb:1081.5,S :266.1,W_:240.3,Pd:167.8,Pd:161.3,,,,,,,,,,
Nb:1068.5,Ta:473.5,Ni:190.6,Ti:163.9,,,,,,,,,,,,,
Ti:2796.8,Mo:1078.6,Nb:1051.4,Pt:608.0,C_:474.5,Ta:427.0,C_:379.7,Zr:375.1,S :368.4,K_:345.1,P :230.0,P :229.3,,,,,
