0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Zr:2180.2,Ti:1019.4,W_:741.6,Nb:629.4,Mo:566.5,S :555.1,Ta:440.3,Pt:386.0,P :369.8,Au:199.6,,,,,
Ti:1774.3,Ti:1430.3,Zr:1162.7,Nb:1096.7,W_:820.0,Pt:669.3,V_:627.1,Mo:558.5,S :397.1,,,,,,
Nb:1159.7,Zr:1148.1,Co:1084.6,Mo:551.2,Pt:263.4,K_:161.3,,,,,,,,,
Fe:2884.0,W_:1758.4,Nb:1742.6,Cr:1735.5,Ti:602.4,Mo:546.6,Ta:467.5,S :346.1,Pt:295.9,V_:213.0,Co:171.7,,,,
Nb:985.7,Mo:539.4,Ti:493.7,Pt:281.2,Ta:263.9,Ta:261.6,,,,,,,,,
W_:1059.2,Mo:536.5,Nb:340.5,Pt:267.9,Ta:198.1,Fe:153.4,,,,,,,,,
Co:2261.6,Pb:1918.9,W_:879.5,Mo:536.5,Pt:319.5,S :211.1,,,,,,,,,
V_:1727.0,Ta:1432.8,Ni:1042.4,W_:714.7,Nb:688.3,Cr:552.5,Mo:533.0,Pt:422.8,Zr:297.4,S :246.4,P :156.1,,,,
K_:5908.5,Zr:1798.8,Nb:1614.6,Au:899.4,Mo:524.9,Pt:320.9,Ni:277.7,V_:235.8,Ta:162.2,,,,,,
Cr:2258.7,Nb:1121.9,W_:810.1,C_:639.9,V_:602.3,Mo:522.9,Pt:244.1,S :191.1,,,,,,,
Fe:2322.7,Nb:1682.9,Zr:1202.1,Ta:601.7,Mo:521.5,Pt:414.9,W_:302.6,Ti:282.9,S :249.1,K_:243.2,Ni:161.2,,,,
Nb:1233.5,Mo:518.0,Pt:347.9,S :230.0,,,,,,,,,,,
V_:1037.8,Cr:896.4,W_:744.7,Mo:517.7,Pt:407.9,,,,,,,,,,
Cr:2949.2,Mo:514.1,Ta:441.7,Pt:324.6,Zr:305.9,Fe:286.5,Nb:236.8,V_:192.1,Au:176.8,,,,,,
Ta:2446.6,Cr:1895.9,V_:798.3,Co:721.2,W_:536.2,Mo:508.7,Pt:506.9,Fe:456.0,Nb:356.1,S :318.4,Zr:251.5,K_:172.2,In:165.9,,
