0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Zr:2927.7,Mo:1363.0,Nb:1317.8,Pt:1065.7,W_:762.0,Ta:357.6,S :239.1,,,,,,,,
Mo:3635.6,Pt:2565.8,Nb:2226.8,W_:760.7,Ti:607.1,Au:406.9,S :355.2,In:275.6,Fe:253.6,P :242.6,Pb:233.0,V_:218.2,Ta:213.3,Ni:179.7,K_:167.4
Cr:8347.1,W_:746.0,Ti:346.8,Ta:314.0,,,,,,,,,,,
Nb:3219.7,V_:1037.8,Cr:896.4,W_:744.7,Mo:517.7,Pt:407.9,S :276.5,K_:222.8,Ti:215.9,,,,,,
Zr:2180.2,V_:1173.1,Ti:1019.4,W_:741.6,Mo:635.0,Nb:629.4,Mo:566.5,Ti:559.9,Pt:433.2,Pt:386.0,Ni:173.8,,,,
W_:740.1,Zr:631.1,Ta:263.9,,,,,,,,,,,,
Mo:4752.7,Fe:4143.0,Pt:4127.1,Nb:2967.7,Ti:812.5,W_:733.8,Ta:473.9,Ta:293.0,Zr:190.8,S :165.9,,,,,
Ta:1653.9,Nb:1280.7,W_:731.0,Ni:359.8,S :275.8,S :239.6,C_:168.2,,,,,,,,
Mo:1141.8,W_:728.5,Nb:712.1,Pt:667.2,Zr:503.5,V_:464.5,C_:239.7,,,,,,,,
Pb:2050.9,Cr:1674.7,Ta:1065.6,Ti:986.0,Mo:810.3,W_:722.4,V_:328.1,Ni:232.2,Co:226.8,Co:212.7,,,,,
Nb:3429.7,Ti:3120.7,C_:836.2,W_:719.7,Ca:347.3,Mo:280.4,P :172.1,,,,,,,,
Mo:8466.9,Pt:7366.7,Fe:1716.7,V_:1650.4,Cr:1285.3,Ti:1128.8,W_:716.8,Nb:523.3,S :154.6,,,,,,
Fe:3626.2,Ta:1432.8,Ni:1042.4,Ti:935.5,W_:714.7,Cr:552.5,Mo:533.0,Pt:422.8,Zr:297.4,P :156.1,,,,,
Ni:2444.9,Pd:2343.7,W_:713.7,Nb:496.9,S :493.1,Ti:459.6,Ta:446.1,K_:324.1,Fe:252.0,Zr:239.1,P :211.2,,,,
Nb:2866.5,W_:706.1,C_:345.3,Ta:297.6,Pt:255.8,Ta:193.6,Mo:176.6,Mo:166.5,Zr:162.0,S :151.9,,,,,
Nb:1359.4,V_:758.9,W_:701.9,Fe:652.0,Zr:546.9,P :285.4,Cr:193.8,S :169.5,,,,,,,
Cr:2351.2,W_:699.4,V_:586.2,Zr:424.4,C_:311.6,Ti:192.2,K_:177.4,P :172.6,S :155.3,,,,,,
Mo:976.0,W_:696.1,Pt:571.1,Pt:513.8,Ta:313.3,V_:198.8,Nb:181.7,K_:162.1,,,,,,,
Nb:862.9,W_:693.5,Zr:621.5,Bi:366.4,Cr:237.1,,,,,,,,,,
Cr:2399.1,Nb:2079.3,V_:1364.2,Ti:1217.6,W_:679.1,S :177.6,Ta:162.7,,,,,,,,
W_:677.8,Mo:320.7,Ni:276.4,,,,,,,,,,,,
Pd:2343.7,W_:669.1,Nb:621.2,Ta:417.0,K_:165.2,,,,,,,,,,
Ni:7018.0,Fe:4046.1,C_:3028.4,Co:1552.6,Nb:1184.9,W_:665.9,Ta:477.9,S :263.7,K_:201.8,Au:162.4,Au:159.8,S :154.8,,,
Fe:1886.8,Cr:1621.9,Zr:1192.1,V_:1102.9,Ti:1000.3,W_:664.0,S :388.7,Mo:336.0,Ta:319.0,Pt:271.0,Nb:238.1,,,,
Mo:1831.7,Pt:917.9,W_:663.5,Zr:404.2,Ti:346.5,S :272.7,Cr:182.4,Pb:161.4,V_:156.6,P :156.3,,,,,
Fe:3349.3,Pd:1740.8,Mo:725.0,W_:655.0,Ti:346.5,Ta:208.0,C_:194.2,Cr:182.4,Pb:178.3,,,,,,
Mo:990.0,W_:654.4,Pt:635.7,Nb:504.7,S :375.0,,,,,,,,,,
V_:3347.6,Nb:1381.4,Ta:670.0,W_:651.6,Pt:421.2,S :288.6,Zr:287.1,P :173.5,,,,,,,
Zr:1286.7,Ta:685.8,W_:642.8,V_:546.6,Pt:433.5,Mo:409.7,C_:238.7,,,,,,,,
Nb:4219.0,Pb:2802.1,Ti:1142.3,Mo:898.0,W_:638.3,Pt:463.7,Ta:253.8,,,,,,,,
Pd:2059.0,Co:1655.2,W_:637.6,Nb:390.8,Cr:373.8,S :339.3,K_:317.7,Zn:307.8,Zn:293.4,In:261.9,Cd:246.2,,,,
Ta:2920.7,Nb:1514.2,W_:636.6,Cr:604.2,V_:513.3,S :372.4,Ti:347.7,Ni:291.5,K_:223.3,Fe:172.8,Zr:168.3,,,,
Ni:1107.8,W_:633.0,Fe:291.2,Ta:249.9,Co:157.3,,,,,,,,,,
Nb:1247.3,Co:1221.0,Ni:973.3,W_:629.4,V_:456.5,Ta:347.3,Zr:178.9,,,,,,,,
Cr:1898.3,Nb:812.1,Zr:628.1,W_:625.3,Pt:411.3,Ta:293.1,Ti:190.2,S :171.4,K_:151.4,,,,,,
Mo:5128.2,Pt:3989.0,Ta:1644.0,Cr:1033.2,Zr:840.9,Nb:808.6,W_:615.9,V_:507.0,Ti:217.3,Bi:185.5,S :183.0,,,,
Cr:1153.4,Ti:726.8,Ta:717.2,W_:612.7,S :314.5,Mo:257.5,Zr:248.8,Pt:217.0,K_:157.2,,,,,,
Co:5663.2,Mo:2986.6,V_:1336.0,Zr:1107.6,Bi:949.3,Cr:941.4,Ta:646.2,W_:598.9,Ti:470.4,S :344.2,P :305.0,Pb:178.3,,,
W_:597.1,Nb:545.7,Ta:320.3,Cr:188.1,,,,,,,,,,,
C_:1623.7,Nb:1570.7,Cr:1153.4,Ti:726.8,W_:596.7,S :201.9,Zr:161.9,P :160.6,,,,,,,
V_:3672.9,Nb:1564.6,Ta:951.7,W_:595.2,Ni:474.8,Zr:373.8,S :360.2,Pt:258.6,,,,,,,
Nb:745.4,W_:594.9,Fe:588.8,S :154.7,,,,,,,,,,,
Ti:3959.2,Mo:1916.6,Pt:1418.9,W_:592.5,C_:470.2,Ni:397.8,Nb:362.4,Zr:188.4,Nb:183.7,,,,,,
