0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Nb:6731.9,Mo:1759.4,Pt:1128.0,C_:822.4,C_:821.2,Ta:443.0,S :172.6,Ti:171.1,Zr:170.5,K_:166.1,,,,,
W_:669.1,Nb:621.2,Ta:417.0,V_:335.5,K_:165.2,,,,,,,,,,
W_:2448.2,V_:240.6,Pb:228.9,K_:164.8,,,,,,,,,,,
Fe:4135.4,Mo:2448.6,Pt:1609.3,V_:1507.6,Cr:569.0,Ta:440.0,Ti:339.3,C_:267.8,S :196.1,Au:173.9,K_:164.0,,,,
Co:7090.6,Nb:1640.8,Ta:322.9,Ni:184.6,K_:163.8,Ti:162.5,S :154.6,,,,,,,,
Ti:1470.7,S :213.0,K_:163.1,,,,,,,,,,,,
V_:1568.9,Ca:1446.2,Ti:1314.0,Mo:1294.2,Mo:1003.1,Pt:1003.0,Nb:840.8,Cr:709.5,Pt:650.4,W_:491.5,Ta:374.8,K_:162.7,S :158.5,P :150.7,
W_:2976.6,Zr:498.7,Mo:298.1,Pd:285.7,Pt:245.9,Fe:229.9,Ti:212.1,V_:186.3,P :181.1,K_:162.6,,,,,
Ni:7899.9,Fe:2499.1,W_:2448.2,Nb:1216.1,Co:286.0,V_:240.6,Pb:232.5,Pb:228.9,K_:162.6,,,,,,
Mo:976.0,W_:696.1,Pt:571.1,Ta:313.3,K_:162.1,,,,,,,,,,
Nb:1391.0,Ti:538.3,Ta:509.2,W_:235.7,K_:161.4,,,,,,,,,,
Nb:1159.7,Zr:1148.1,Co:1084.6,Mo:551.2,Pt:263.4,K_:161.3,,,,,,,,,
W_:8270.9,Fe:1822.4,Ta:1264.1,Ti:1001.2,Nb:774.3,Zr:635.7,S :172.5,P :168.0,K_:160.5,,,,,,
Pt:4102.4,Nb:1417.0,Ti:223.5,P :211.8,Cr:199.6,Zr:199.5,Co:165.9,K_:160.5,,,,,,,
W_:3236.0,Ta:1181.7,Zr:501.4,S :372.1,Nb:262.8,P :196.3,K_:159.9,C_:155.7,,,,,,,
Fe:1180.2,V_:1156.2,Ti:1096.9,Nb:989.2,Pt:484.2,W_:409.1,Mo:277.9,Al:256.9,S :223.0,K_:158.6,,,,,
Nb:3547.3,Ti:994.6,Mo:955.3,V_:861.8,Pt:764.1,Zr:585.5,Sn:450.8,In:402.5,S :278.4,K_:158.3,,,,,
Nb:3274.6,Ti:270.5,Zr:217.9,P :160.6,K_:158.2,,,,,,,,,,
Cr:1153.4,Ti:726.8,Ta:717.2,W_:612.7,S :314.5,Mo:257.5,Zr:248.8,Pt:217.0,K_:157.2,,,,,,
W_:2274.2,Mo:1721.6,Zr:1220.5,Fe:1171.7,Pt:1137.8,Ta:683.0,K_:156.3,,,,,,,,
Nb:3806.6,Ta:1646.2,Ti:1449.0,Zr:692.0,W_:440.1,Ag:291.4,S :282.4,C_:218.4,K_:154.2,P :152.1,,,,,
C_:509.2,Ta:259.5,S :215.4,K_:154.1,,,,,,,,,,,
Co:438.4,W_:293.2,Zr:284.3,Ti:258.9,S :165.6,K_:153.0,,,,,,,,,
Cr:10415.6,Fe:4097.4,Ti:950.3,Ta:535.0,S :528.3,P :339.0,K_:152.7,,,,,,,,
Nb:4037.7,Ta:1646.2,Mo:1109.6,V_:1025.5,Pt:856.3,Zr:316.6,Ag:291.4,S :282.4,S :256.2,Al:241.2,C_:217.2,W_:202.6,P :165.8,K_:152.6,
V_:1964.1,Au:1054.6,Ti:788.3,S :389.1,Cr:292.4,In:281.9,W_:260.1,Ta:259.0,Zr:185.5,K_:152.1,,,,,
W_:1137.2,Mo:897.5,Zr:790.0,Pt:694.3,S :620.5,P :308.5,Pb:291.9,Ti:219.3,K_:151.8,,,,,,
Mo:630.0,Zr:628.1,W_:625.3,V_:608.8,C_:468.7,Pt:411.3,Ta:293.1,Ta:260.3,Ti:190.2,S :171.4,K_:151.4,,,,
Ta:404.9,S :284.4,Fe:279.6,Ag:229.4,Zr:206.0,K_:150.8,,,,,,,,,
I_:1818.1,Pd:1713.5,Mo:1250.1,Cr:685.5,Si:659.4,Ta:372.2,Zr:363.6,Au:300.3,Ag:289.4,W_:267.7,K_:150.7,,,,
Mo:3351.6,Pt:2717.2,V_:1411.2,Ta:1162.8,Pd:529.2,W_:428.4,S :358.5,Ti:285.0,P :158.2,Au:150.7,K_:150.5,,,,
Fe:3924.7,V_:2198.2,Cr:823.5,Zr:815.2,Mo:763.6,Pt:627.1,Nb:495.7,C_:270.6,Ta:192.2,K_:150.3,,,,,
